sku,date,volume,segment,base_price,month,day_of_week,day_of_month,week_of_year,holiday,promotion,special_event,is_holiday,is_promotion,promotion_depth,days_until_holiday,days_since_holiday,month_sin,month_cos,day_of_week_sin,day_of_week_cos,price,avg_historical_volume
SKU_1,2022-01-01,311,highly_seasonal,10.0,1,5,1,52,1,0,0,1,0,0.0,149,365,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,9.000446573626768,158.14246575342466
SKU_1,2022-01-02,256,highly_seasonal,10.0,1,6,2,52,0,0,0,0,0,0.0,148,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10.990874728525451,158.14246575342466
SKU_1,2022-01-03,198,highly_seasonal,10.0,1,0,3,1,0,0,0,0,0,0.0,147,2,0.49999999999999994,0.8660254037844387,0.0,1.0,10.660205785760954,158.14246575342466
SKU_1,2022-01-04,180,highly_seasonal,10.0,1,1,4,1,0,1,0,0,1,0.276046254256226,146,3,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,9.221675449117633,158.14246575342466
SKU_1,2022-01-05,208,highly_seasonal,10.0,1,2,5,1,0,0,0,0,0,0.0,145,4,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,10.75463944835551,158.14246575342466
SKU_1,2022-01-06,194,highly_seasonal,10.0,1,3,6,1,0,0,0,0,0,0.0,144,5,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,9.932452743216967,158.14246575342466
SKU_1,2022-01-07,169,highly_seasonal,10.0,1,4,7,1,0,0,0,0,0,0.0,143,6,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,9.57767932450221,158.14246575342466
SKU_1,2022-01-08,244,highly_seasonal,10.0,1,5,8,1,0,0,1,0,0,0.0,142,7,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10.109290979607884,158.14246575342466
SKU_1,2022-01-09,252,highly_seasonal,10.0,1,6,9,1,0,0,0,0,0,0.0,141,8,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,9.485412016537252,158.14246575342466
SKU_1,2022-01-10,222,highly_seasonal,10.0,1,0,10,2,0,0,0,0,0,0.0,140,9,0.49999999999999994,0.8660254037844387,0.0,1.0,9.450599484024485,158.14246575342466
SKU_1,2022-01-11,187,highly_seasonal,10.0,1,1,11,2,0,1,0,0,1,0.4326067635503673,139,10,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,10.480097517792393,158.14246575342466
SKU_1,2022-01-12,229,highly_seasonal,10.0,1,2,12,2,0,0,0,0,0,0.0,138,11,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,10.673045498647305,158.14246575342466
SKU_1,2022-01-13,205,highly_seasonal,10.0,1,3,13,2,0,0,0,0,0,0.0,137,12,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,9.518391284875655,158.14246575342466
SKU_1,2022-01-14,181,highly_seasonal,10.0,1,4,14,2,0,0,0,0,0,0.0,136,13,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,10.942916639530244,158.14246575342466
SKU_1,2022-01-15,268,highly_seasonal,10.0,1,5,15,2,0,0,0,0,0,0.0,135,14,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,10.699885450403405,158.14246575342466
SKU_1,2022-01-16,226,highly_seasonal,10.0,1,6,16,2,0,1,0,0,1,0.14383773808911618,134,15,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,10.060197415693786,158.14246575342466
SKU_1,2022-01-17,204,highly_seasonal,10.0,1,0,17,3,0,0,0,0,0,0.0,133,16,0.49999999999999994,0.8660254037844387,0.0,1.0,10.899609645047505,158.14246575342466
